Domain,Area,Element,Months,Year,Unit,Value
"Temperature change","World","Temperature change","Meteorological year","1961","°C","0.207"
"Temperature change","World","Temperature change","Meteorological year","1962","°C","0.034"
"Temperature change","World","Temperature change","Meteorological year","1963","°C","0.159"
"Temperature change","World","Temperature change","Meteorological year","1964","°C","-0.253"
"Temperature change","World","Temperature change","Meteorological year","1965","°C","-0.226"
"Temperature change","World","Temperature change","Meteorological year","1966","°C","0.201"
"Temperature change","World","Temperature change","Meteorological year","1967","°C","-0.114"
"Temperature change","World","Temperature change","Meteorological year","1968","°C","-0.12"
"Temperature change","World","Temperature change","Meteorological year","1969","°C","-0.09"
"Temperature change","World","Temperature change","Meteorological year","1970","°C","0.153"
"Temperature change","World","Temperature change","Meteorological year","1971","°C","-0.092"
"Temperature change","World","Temperature change","Meteorological year","1972","°C","-0.195"
"Temperature change","World","Temperature change","Meteorological year","1973","°C","0.275"
"Temperature change","World","Temperature change","Meteorological year","1974","°C","-0.181"
"Temperature change","World","Temperature change","Meteorological year","1975","°C","0.09"
"Temperature change","World","Temperature change","Meteorological year","1976","°C","-0.311"
"Temperature change","World","Temperature change","Meteorological year","1977","°C","0.271"
"Temperature change","World","Temperature change","Meteorological year","1978","°C","0.004"
"Temperature change","World","Temperature change","Meteorological year","1979","°C","0.225"
"Temperature change","World","Temperature change","Meteorological year","1980","°C","0.33"
"Temperature change","World","Temperature change","Meteorological year","1981","°C","0.439"
"Temperature change","World","Temperature change","Meteorological year","1982","°C","0.078"
"Temperature change","World","Temperature change","Meteorological year","1983","°C","0.452"
"Temperature change","World","Temperature change","Meteorological year","1984","°C","0.12"
"Temperature change","World","Temperature change","Meteorological year","1985","°C","-0.034"
"Temperature change","World","Temperature change","Meteorological year","1986","°C","0.238"
"Temperature change","World","Temperature change","Meteorological year","1987","°C","0.391"
"Temperature change","World","Temperature change","Meteorological year","1988","°C","0.549"
"Temperature change","World","Temperature change","Meteorological year","1989","°C","0.326"
"Temperature change","World","Temperature change","Meteorological year","1990","°C","0.636"
"Temperature change","World","Temperature change","Meteorological year","1991","°C","0.458"
"Temperature change","World","Temperature change","Meteorological year","1992","°C","0.183"
"Temperature change","World","Temperature change","Meteorological year","1993","°C","0.346"
"Temperature change","World","Temperature change","Meteorological year","1994","°C","0.501"
"Temperature change","World","Temperature change","Meteorological year","1995","°C","0.831"
"Temperature change","World","Temperature change","Meteorological year","1996","°C","0.354"
"Temperature change","World","Temperature change","Meteorological year","1997","°C","0.656"
"Temperature change","World","Temperature change","Meteorological year","1998","°C","0.992"
"Temperature change","World","Temperature change","Meteorological year","1999","°C","0.788"
"Temperature change","World","Temperature change","Meteorological year","2000","°C","0.735"
"Temperature change","World","Temperature change","Meteorological year","2001","°C","0.836"
"Temperature change","World","Temperature change","Meteorological year","2002","°C","1.018"
"Temperature change","World","Temperature change","Meteorological year","2003","°C","0.896"
"Temperature change","World","Temperature change","Meteorological year","2004","°C","0.914"
"Temperature change","World","Temperature change","Meteorological year","2005","°C","1.103"
"Temperature change","World","Temperature change","Meteorological year","2006","°C","1.001"
"Temperature change","World","Temperature change","Meteorological year","2007","°C","1.198"
"Temperature change","World","Temperature change","Meteorological year","2008","°C","0.938"
"Temperature change","World","Temperature change","Meteorological year","2009","°C","0.967"
"Temperature change","World","Temperature change","Meteorological year","2010","°C","1.228"
"Temperature change","World","Temperature change","Meteorological year","2011","°C","0.923"
"Temperature change","World","Temperature change","Meteorological year","2012","°C","1.081"
"Temperature change","World","Temperature change","Meteorological year","2013","°C","1.021"
"Temperature change","World","Temperature change","Meteorological year","2014","°C","1.052"
"Temperature change","World","Temperature change","Meteorological year","2015","°C","1.419"
"Temperature change","World","Temperature change","Meteorological year","2016","°C","1.674"
"Temperature change","World","Temperature change","Meteorological year","2017","°C","1.44"
"Temperature change","World","Temperature change","Meteorological year","2018","°C","1.301"
"Temperature change","World","Temperature change","Meteorological year","2019","°C","1.473"
"Temperature change","World","Standard Deviation","Meteorological year","1961","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1962","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1963","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1964","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1965","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1966","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1967","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1968","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1969","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1970","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1971","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1972","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1973","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1974","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1975","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1976","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1977","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1978","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1979","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1980","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1981","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1982","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1983","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1984","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1985","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1986","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1987","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1988","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1989","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1990","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1991","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1992","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1993","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1994","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1995","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1996","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1997","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1998","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1999","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2000","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2001","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2002","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2003","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2004","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2005","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2006","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2007","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2008","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2009","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2010","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2011","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2012","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2013","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2014","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2015","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2016","°C","0.201"
